Ring,Priority,Complex Name,Address,Phone,Google Rating,Google Reviews,Units (Est/Confirmed),Unit Source,Leasing Office Hours,Management Company,Google Maps Link
Inner,1,2525 Eliot Street Apartments,2525 Eliot St Denver CO 80211,(720) 971-9559,4.4,35,~40 (est),Estimate,Contact office,Cornerstone Apartments,https://www.google.com/maps/place/?q=place_id:ChIJ7-bqh5h4bIcRfCFCbv16iN0
Inner,2,2800 W 26th,2800 W 26th Ave Denver CO 80211,(720) 735-5551,1.0,1,~30 (est),Estimate,M-F 8:30a-5p / Sat 9a-4p,Cornerstone Apartments,https://www.google.com/maps/place/?q=place_id:ChIJNd03NAd5bIcRQkqWkkjm-uw
Inner,3,The Pines,2701 Federal Blvd Denver CO 80211,(720) 639-8071,5.0,2,~30 (est),Estimate,M-F 8:30a-5p / Sat 9a-4p,Cornerstone Apartments,https://www.google.com/maps/place/?q=place_id:ChIJtV-sBjZ5bIcRA_8uk2pnAak
Inner,4,The Roost Apartments,2418 N Federal Blvd Denver CO 80211,(720) 983-1530,3.5,13,~50 (est),Estimate,Contact office,Independent,https://www.google.com/maps/place/?q=place_id:ChIJUcyOvXF5bIcRSCUCUksYqKA
Inner,5,Edge25,2633 W 25th Ave Denver CO 80211,(888) 366-5832,—,0,~60 (est),Estimate,M-Sat 9a-5p,Zellis Residential,https://www.google.com/maps/place/?q=place_id:ChIJ9-HGFgB5bIcRfAntgUdbBAM
Inner,6,Jefferson Park 33,2715 W 25th Ave Denver CO 80211,(720) 776-2432,5.0,2,~35 (est),Estimate,M-F 8:30a-5p / Sat 9a-4p,Cornerstone Apartments,https://www.google.com/maps/place/?q=place_id:ChIJj_ZyM9h5bIcR_62LNgsb6Kc
Inner,7,Decatur Point Apartments,2700 Decatur St Denver CO 80211,(720) 381-3665,4.4,100,203 (confirmed),Zillow,M-F 8a-5p,Iron River Management,https://www.google.com/maps/place/?q=place_id:ChIJeyiUNZh4bIcRB-ALASfSgMo
Inner,8,Jeff Park Flats,2729 W 28th Ave Denver CO 80211,—,4.2,5,~25 (est),Estimate,Contact office,Condo/HOA,https://www.google.com/maps/place/?q=place_id:ChIJy_Ad8zF5bIcRPq8NFBZVoCg
Inner,9,Alton Jefferson Park,2920 W 29th Ave Denver CO 80211,(844) 329-2811,4.7,62,122 (confirmed),Apartment Finder,M-F 10a-6p / Sat 10a-5p,Avenue5 Residential,https://www.google.com/maps/place/?q=place_id:ChIJYyNZYu95bIcRslrZjTjX7qA
Outer,10,Skyline at Highlands,2501 W 26th Ave Denver CO 80211,(303) 351-9180,4.3,136,533 (confirmed),Apartment Finder / Multi-Housing News,M-Sat 10a-6p / Sun 11a-4p,Grand Peaks,https://www.google.com/maps/place/?q=place_id:ChIJX0UTAtN5bIcRDCQK2NP7K4k
Outer,11,The Alcott,2424 Alcott St Denver CO 80211,(720) 441-2360,4.0,243,248 (confirmed),Apartment Finder / CFC Construction,M-F 9a-6p / Sat 10a-5p,Independent,https://www.google.com/maps/place/?q=place_id:ChIJde3w7mR5bIcRUbV9LJsc_Gw
Outer,12,2785 Speer Apartments,2785 Speer Blvd Denver CO 80211,(970) 592-8535,3.0,157,332 (confirmed),Apartment Finder,M-F 9a-6p / Sat 10a-5p / Sun 12-5p,Greystar,https://www.google.com/maps/place/?q=place_id:ChIJT3CkVZZ4bIcRAHbnI5fgEfk
Outer,13,Wrenmoor LoHi,2828 Zuni St Denver CO 80211,(844) 636-0256,4.1,75,~120 (est),Estimate,M-F 10a-6p / Sat 10a-5p,NexMetro Communities,https://www.google.com/maps/place/?q=place_id:ChIJrf_0jpZ4bIcRMqlDxv8xRWw
Outer,14,Infinity LoHi,2298 W 28th Ave Denver CO 80211,(720) 242-0868,4.4,268,273 (confirmed),Apartment Finder,M-F 9a-6p / Sat 10a-5p,BlackRock Realty Advisors,https://www.google.com/maps/place/?q=place_id:ChIJC-Jh05V4bIcRVSjb4erVJFI
Outer,15,LoHi Gold,2424 W Caithness Pl Denver CO 80211,(983) 204-2089,3.9,58,~100 (est),Estimate,M-F 9a-6p / Sat 10a-5p,Independent,https://www.google.com/maps/place/?q=place_id:ChIJG-aAI5F4bIcRdgt4cjpL4Jk
Outer,16,Eliot Flats,3233 Eliot St Denver CO 80211,(720) 419-1299,4.3,10,~30 (est),Estimate,M-F 8:30a-5p / Sat 9a-4p,Cornerstone Apartments,https://www.google.com/maps/place/?q=place_id:ChIJda2SEsJ5bIcRQTlO3ccHMR8
